phase,transport,scenario,expected,result,exit_code,log_file,command
"functional","grpc","allow","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_grpc_allow.log","docker exec orders /app/orders charge"
"functional","grpc","deny","failure","pass",1,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_grpc_deny.log","docker exec orders /app/orders refund"
"functional","rest","allow","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_rest_allow.log","docker exec orders /app/orders rest-charge"
"functional","rest","deny","failure","pass",1,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_rest_deny.log","docker exec orders /app/orders rest-refund"
"functional","kafka","publish_allow","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_kafka_publish_allow.log","docker exec orders /app/orders kafka-publish"
"functional","kafka","consume_allow","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_kafka_consume_allow.log","deadline=$((SECONDS+60)); while [ $SECONDS -lt $deadline ]; do docker compose -f '/home/mintru/Documents/authz/authz-system/deploy/docker-compose.yml' logs --since=60s payments | grep -q 'KAFKA CONSUME OK' && exit 0; sleep 2; done; docker compose -f '/home/mintru/Documents/authz/authz-system/deploy/docker-compose.yml' logs --tail=200 payments; exit 1"
"functional","kafka","publish_deny","failure","pass",1,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_kafka_publish_deny.log","docker exec orders /app/orders kafka-publish-deny"
"functional","nats","publish_allow","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_nats_publish_allow.log","docker exec orders /app/orders nats-publish"
"functional","nats","consume_allow","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_nats_consume_allow.log","deadline=$((SECONDS+20)); while [ $SECONDS -lt $deadline ]; do docker compose -f '/home/mintru/Documents/authz/authz-system/deploy/docker-compose.yml' logs --since=20s payments | grep -q 'NATS CONSUME OK' && exit 0; sleep 2; done; docker compose -f '/home/mintru/Documents/authz/authz-system/deploy/docker-compose.yml' logs --tail=200 payments; exit 1"
"functional","nats","publish_deny","failure","pass",1,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/functional_nats_publish_deny.log","docker exec orders /app/orders nats-publish-deny"
"reload","policy","reload","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload_policy_reload.log","make -C '/home/mintru/Documents/authz/authz-system/deploy' reload-all"
"reload-impact","grpc","allow_rule_changed_to_deny","failure","pass",1,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload-impact_grpc_allow_rule_changed_to_deny.log","docker exec orders /app/orders charge"
"reload","policy","reload","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload_policy_reload.log","make -C '/home/mintru/Documents/authz/authz-system/deploy' reload-all"
"reload-impact","grpc","allow_rule_restored","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload-impact_grpc_allow_rule_restored.log","docker exec orders /app/orders charge"
"reload","policy","reload","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload_policy_reload.log","make -C '/home/mintru/Documents/authz/authz-system/deploy' reload-all"
"reload-impact","rest","allow_rule_changed_to_deny","failure","pass",1,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload-impact_rest_allow_rule_changed_to_deny.log","docker exec orders /app/orders rest-charge"
"reload","policy","reload","success","pass",0,"/home/mintru/Documents/authz/authz-system/results/final-hardening/functional/reload_policy_reload.log","make -C '/home/mintru/Documents/authz/authz-system/deploy' reload-all"
